موجود في Drive وغير مذكور,ملاحظة,وسم آلي,وسم مراجعة
مستند_جديد_1_14041442.pdf,موجود في Drive وغير مرتبط برابط في الدراسة (مبدئياً),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
مستند_جديد_3_18121427.pdf,موجود في Drive وغير مرتبط برابط في الدراسة (مبدئياً),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
مستند_جديد_2_427036.pdf,موجود في Drive وغير مرتبط برابط في الدراسة (مبدئياً),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
