fid,title,mode,status,old_q,new_q
1V6hiunw,صورة تقديم 21-05-2024 (3),replace,تمّ (مُحدَّث),75.0,85.5
1iouPL40,محضر رفع التصرف على صك أرض التنس بموجب ط,replace,تمّ (بقي القديم),83.1,85.9
1aOyOSA5,أمر تنفيذ عدنان زيني ضد الشيخ أسامة ـ 40,replace,تمّ (بقي القديم),83.4,85.0
16jMMKVV,أمر تنفيذ عدنان ـ نسخة,replace,تمّ (بقي القديم),83.4,84.9
1z9GZ0JC,خطاب وزارة التجارة بتوثيق تخارج المدعين ,replace,تمّ (بقي القديم),83.8,86.2
1NXAf28o,مذكرة من المحامي السديري 20-02-1445 ـ ال,replace,تمّ (بقي القديم),84.0,85.4
